stock_description,pct_of_portfolio,quarterly_action,number_of_shares,share_price_at_qtr_end,total_investment,investor_name,fund_name,stock_ticker,quarter
DLTR - Dollar Tree Inc.,2.7,Reduce 0.03%,"69,879",$141.44,"$9,884,000",Christopher Bloomstran,Semper Augustus,DLTR,2022Q4
DIS - Walt Disney Co.,2.7,Add 67.90%,"113,110",$86.88,"$9,827,000",Christopher Bloomstran,Semper Augustus,DIS,2022Q4
SBUX - Starbucks Corp.,2.7,Reduce 0.07%,"98,854",$99.20,"$9,806,000",Christopher Bloomstran,Semper Augustus,SBUX,2022Q4
ALK - Alaska Air Group,2.6,Add 7.65%,"224,401",$42.94,"$9,636,000",Christopher Bloomstran,Semper Augustus,ALK,2022Q4
EQNR - Equinor ASA,1.9,Reduce 0.29%,"195,883",$35.81,"$7,015,000",Christopher Bloomstran,Semper Augustus,EQNR,2022Q4
NXPI - NXP Semiconductors NV,1.7,Add 2.74%,"39,778",$158.03,"$6,286,000",Christopher Bloomstran,Semper Augustus,NXPI,2022Q4
MRK - Merck & Co.,1.3,,"44,473",$110.94,"$4,934,000",Christopher Bloomstran,Semper Augustus,MRK,2022Q4
HXL - Hexcel Corp.,1.1,Reduce 0.08%,"71,309",$58.86,"$4,197,000",Christopher Bloomstran,Semper Augustus,HXL,2022Q4
TRV - Travelers Companies Inc.,1.0,Add 0.78%,"20,155",$187.50,"$3,779,000",Christopher Bloomstran,Semper Augustus,TRV,2022Q4
<1% Basket - Multiple Holdings,3.4,,,,,Christopher Bloomstran,Semper Augustus,<1% Basket,2022Q4
MU - Micron Technology Inc.,29.8,,"11,476,523",$49.98,"$573,597,000",Li Lu,Himalaya Capital Management,MU,2022Q4
BAC - Bank of America Corp.,25.1,,"14,586,987",$33.12,"$483,121,000",Li Lu,Himalaya Capital Management,BAC,2022Q4
BRK.B - Berkshire Hathaway CL B,14.4,,"897,749",$308.90,"$277,315,000",Li Lu,Himalaya Capital Management,BRK.B,2022Q4
GOOG - Alphabet Inc. CL C,14.0,,"3,044,000",$88.73,"$270,094,000",Li Lu,Himalaya Capital Management,GOOG,2022Q4
GOOGL - Alphabet Inc.,11.6,Add 168.28%,"2,543,300",$88.23,"$224,395,000",Li Lu,Himalaya Capital Management,GOOGL,2022Q4
AAPL - Apple Inc.,5.1,,"759,600",$129.93,"$98,695,000",Li Lu,Himalaya Capital Management,AAPL,2022Q4
JOE - St. Joe Co.,78.5,Reduce 0.74%,"24,288,448",$38.65,"$938,749,000",Bruce Berkowitz,Fairholme Capital,JOE,2022Q4
CMC - Commercial Metals,9.0,Reduce 6.29%,"2,228,200",$48.30,"$107,622,000",Bruce Berkowitz,Fairholme Capital,CMC,2022Q4
EPD - Enterprise Products Partners LP,8.4,Add 6.70%,"4,142,800",$24.12,"$99,924,000",Bruce Berkowitz,Fairholme Capital,EPD,2022Q4
BRK.B - Berkshire Hathaway CL B,1.6,Reduce 36.47%,"61,955",$308.90,"$19,138,000",Bruce Berkowitz,Fairholme Capital,BRK.B,2022Q4
<1% Basket - Multiple Holdings,2.5,,,,,Bruce Berkowitz,Fairholme Capital,<1% Basket,2022Q4
AAPL - Apple Inc.,38.9,Add 0.04%,"895,136,175",$129.93,"$116,305,042,000",Warren Buffett,Berkshire Hathaway,AAPL,2022Q4
BAC - Bank of America Corp.,11.2,,"1,010,100,606",$33.12,"$33,454,531,000",Warren Buffett,Berkshire Hathaway,BAC,2022Q4
CVX - Chevron Corp.,9.8,Reduce 1.44%,"162,975,771",$179.49,"$29,252,523,000",Warren Buffett,Berkshire Hathaway,CVX,2022Q4
KO - Coca Cola Co.,8.5,,"400,000,000",$63.61,"$25,444,000,000",Warren Buffett,Berkshire Hathaway,KO,2022Q4
AXP - American Express,7.5,,"151,610,700",$147.75,"$22,400,481,000",Warren Buffett,Berkshire Hathaway,AXP,2022Q4
KHC - Kraft Heinz Co.,4.4,,"325,634,818",$40.71,"$13,256,593,000",Warren Buffett,Berkshire Hathaway,KHC,2022Q4
OXY - Occidental Petroleum,4.1,,"194,351,650",$62.99,"$12,242,210,000",Warren Buffett,Berkshire Hathaway,OXY,2022Q4
MCO - Moody's Corp.,2.3,,"24,669,778",$278.62,"$6,873,494,000",Warren Buffett,Berkshire Hathaway,MCO,2022Q4
ATVI - Activision Blizzard Inc.,1.4,Reduce 12.35%,"52,717,075",$76.55,"$4,035,493,000",Warren Buffett,Berkshire Hathaway,ATVI,2022Q4
<1% Basket - Multiple Holdings,12.0,,,,,Warren Buffett,Berkshire Hathaway,<1% Basket,2022Q4
HGV - Hilton Grand Vacations Inc.,67.8,Reduce 4.65%,"7,367,930",$38.54,"$283,960,000",Clifford Sosin,CAS Investment Partners,HGV,2022Q4
WRLD - World Acceptance Corp.,11.9,,"755,768",$65.94,"$49,835,000",Clifford Sosin,CAS Investment Partners,WRLD,2022Q4
CVNA - Carvana Co.,7.7,,"6,827,803",$4.74,"$32,364,000",Clifford Sosin,CAS Investment Partners,CVNA,2022Q4
CDLX - Cardlytics Inc.,7.5,,"5,416,116",$5.78,"$31,305,000",Clifford Sosin,CAS Investment Partners,CDLX,2022Q4
COF - Capital One Financial,3.4,Buy,"151,218",$92.96,"$14,057,000",Clifford Sosin,CAS Investment Partners,COF,2022Q4
PRTYQ - Party City Holdco Inc.,1.7,,"19,557,248",$0.37,"$7,148,000",Clifford Sosin,CAS Investment Partners,PRTYQ,2022Q4
OVV - Ovintiv Inc.,4.8,Reduce 25.12%,"1,459,424",$50.71,"$74,007,000",Bill Miller,Miller Value Partners,OVV,2022Q4
OMF - OneMain Holdings,4.5,Reduce 1.72%,"2,099,765",$33.31,"$69,943,000",Bill Miller,Miller Value Partners,OMF,2022Q4
EXPE - Expedia Group Inc.,4.5,Reduce 1.74%,"787,300",$87.60,"$68,968,000",Bill Miller,Miller Value Partners,EXPE,2022Q4
TMHC - Taylor Morrison Home Corp.,4.2,Reduce 10.53%,"2,151,320",$30.35,"$65,293,000",Bill Miller,Miller Value Partners,TMHC,2022Q4
MAT - Mattel Inc.,3.9,Reduce 8.22%,"3,358,156",$17.84,"$59,910,000",Bill Miller,Miller Value Partners,MAT,2022Q4
ET - Energy Transfer LP,3.8,Reduce 15.40%,"4,996,876",$11.87,"$59,313,000",Bill Miller,Miller Value Partners,ET,2022Q4
AMZN - Amazon.com Inc.,3.6,Reduce 3.37%,"671,540",$84.00,"$56,409,000",Bill Miller,Miller Value Partners,AMZN,2022Q4
DAL - Delta Air Lines Inc.,3.6,Reduce 1.80%,"1,677,660",$32.86,"$55,128,000",Bill Miller,Miller Value Partners,DAL,2022Q4
GOOGL - Alphabet Inc.,3.5,Reduce 8.78%,"615,772",$88.23,"$54,330,000",Bill Miller,Miller Value Partners,GOOGL,2022Q4
BABA - Alibaba Group Holdings,3.2,Reduce 12.66%,"558,507",$88.09,"$49,199,000",Bill Miller,Miller Value Partners,BABA,2022Q4
TEVA - Teva Pharmaceutical Industries Ltd.,3.0,Reduce 44.39%,"5,147,027",$9.12,"$46,941,000",Bill Miller,Miller Value Partners,TEVA,2022Q4
JPM - JPMorgan Chase & Co.,3.0,Reduce 10.88%,"349,181",$134.10,"$46,825,000",Bill Miller,Miller Value Partners,JPM,2022Q4
C - Citigroup Inc.,3.0,Reduce 0.56%,"1,030,868",$45.23,"$46,626,000",Bill Miller,Miller Value Partners,C,2022Q4
NCLH - Norwegian Cruise Line Hlgs Ltd.,3.0,Reduce 7.57%,"3,803,983",$12.24,"$46,561,000",Bill Miller,Miller Value Partners,NCLH,2022Q4
GM - General Motors,2.9,Reduce 2.11%,"1,338,820",$33.64,"$45,038,000",Bill Miller,Miller Value Partners,GM,2022Q4
UBER - Uber Technologies Inc.,2.7,Reduce 8.61%,"1,667,945",$24.73,"$41,248,000",Bill Miller,Miller Value Partners,UBER,2022Q4
GOOS - Canada Goose Holdings Inc.,2.6,Add 122.57%,"2,234,764",$17.81,"$39,801,000",Bill Miller,Miller Value Partners,GOOS,2022Q4
FISV - Fiserv Inc.,2.5,Reduce 20.94%,"382,490",$101.07,"$38,658,000",Bill Miller,Miller Value Partners,FISV,2022Q4
UAL - United Airlines Holdings Inc.,2.4,Reduce 15.23%,"1,001,950",$37.70,"$37,774,000",Bill Miller,Miller Value Partners,UAL,2022Q4
TNL - Travel Leisure Co.,2.4,Buy,"1,001,052",$36.40,"$36,438,000",Bill Miller,Miller Value Partners,TNL,2022Q4
CHK - Chesapeake Energy,2.3,Add 666.40%,"383,200",$94.37,"$36,163,000",Bill Miller,Miller Value Partners,CHK,2022Q4
SPLK - Splunk Inc.,2.2,Add 22.82%,"388,824",$86.09,"$33,474,000",Bill Miller,Miller Value Partners,SPLK,2022Q4
META - Meta Platforms Inc.,2.1,Reduce 4.16%,"275,914",$120.34,"$33,204,000",Bill Miller,Miller Value Partners,META,2022Q4
FTCH - Farfetch Ltd,2.1,Add 20.23%,"6,852,427",$4.73,"$32,412,000",Bill Miller,Miller Value Partners,FTCH,2022Q4
CLF - Cleveland-Cliffs Inc.,2.1,Reduce 26.89%,"2,002,557",$16.11,"$32,261,000",Bill Miller,Miller Value Partners,CLF,2022Q4
ADT - ADT Inc.,2.0,Reduce 37.57%,"3,351,027",$9.07,"$30,394,000",Bill Miller,Miller Value Partners,ADT,2022Q4
KRTX - Karuna Therapeutics Inc.,1.8,Reduce 14.89%,"144,966",$196.50,"$28,486,000",Bill Miller,Miller Value Partners,KRTX,2022Q4
COF - Capital One Financial,1.8,Reduce 2.61%,"299,263",$92.96,"$27,820,000",Bill Miller,Miller Value Partners,COF,2022Q4
COIN - Coinbase Global Inc.,1.6,Add 173.89%,"716,532",$35.39,"$25,358,000",Bill Miller,Miller Value Partners,COIN,2022Q4
SI - Silvergate Capital Corp. CL A,1.6,Add 448.19%,"1,423,984",$17.40,"$24,777,000",Bill Miller,Miller Value Partners,SI,2022Q4
SOFI - SoFi Technologies Inc.,1.5,Reduce 3.49%,"4,908,580",$4.61,"$22,629,000",Bill Miller,Miller Value Partners,SOFI,2022Q4
<1% Basket - Multiple Holdings,11.8,,,,,Bill Miller,Miller Value Partners,<1% Basket,2022Q4
MU - Micron Technology Inc.,77.1,Add 2.03%,"1,860,812",$49.98,"$93,004,000",Mohnish Pabrai,Pabrai Investments,MU,2022Q4
BN - Brookfield Corp.,18.6,Add 295.07%,"712,319",$31.46,"$22,410,000",Mohnish Pabrai,Pabrai Investments,BN,2022Q4
BAM - Brookfield Asset Management,4.2,Buy,"178,077",$28.67,"$5,105,000",Mohnish Pabrai,Pabrai Investments,BAM,2022Q4
SRG - Seritage Growth Properties,0.1,,"3,375",$11.85,"$40,000",Mohnish Pabrai,Pabrai Investments,SRG,2022Q4
GEO - GEO Group Inc.,25.0,Reduce 47.35%,"1,063,127",$10.95,"$11,641,000",Michael Burry,Scion Asset Management,GEO,2022Q4
BKI - Black Knight Inc.,19.9,Buy,"150,000",$61.75,"$9,263,000",Michael Burry,Scion Asset Management,BKI,2022Q4
COHR - Coherent Corp.,11.3,Buy,"150,000",$35.10,"$5,265,000",Michael Burry,Scion Asset Management,COHR,2022Q4
BABA - Alibaba Group Holdings,9.5,Buy,"50,000",$88.10,"$4,405,000",Michael Burry,Scion Asset Management,BABA,2022Q4
JD - JD.com Inc.,9.1,Buy,"75,000",$56.13,"$4,210,000",Michael Burry,Scion Asset Management,JD,2022Q4
WWW - Wolverine World Wide,8.4,Buy,"356,101",$10.93,"$3,892,000",Michael Burry,Scion Asset Management,WWW,2022Q4
MGM - MGM Resorts International,7.2,Buy,"100,000",$33.53,"$3,353,000",Michael Burry,Scion Asset Management,MGM,2022Q4
QRTEA - Qurate Retail Group Inc. CL A,5.3,Reduce 70.00%,"1,500,000",$1.63,"$2,445,000",Michael Burry,Scion Asset Management,QRTEA,2022Q4
SKYW - SkyWest Inc.,4.4,Buy,"125,000",$16.51,"$2,064,000",Michael Burry,Scion Asset Management,SKYW,2022Q4
SMAR - Smartsheet Inc.,22.0,Add 11.77%,"3,846,551",$39.36,"$151,400,000",Pat Dorsey,Dorsey Asset Management ,SMAR,2022Q4
WIX - Wix.com Ltd.,17.9,Reduce 14.71%,"1,603,578",$76.83,"$123,203,000",Pat Dorsey,Dorsey Asset Management ,WIX,2022Q4
META - Meta Platforms Inc.,17.4,Add 30.95%,"992,042",$120.34,"$119,382,000",Pat Dorsey,Dorsey Asset Management ,META,2022Q4
ROKU - Roku Inc.,9.9,Add 17.90%,"1,677,711",$40.70,"$68,283,000",Pat Dorsey,Dorsey Asset Management ,ROKU,2022Q4
DIS - Walt Disney Co.,9.4,Add 0.72%,"746,469",$86.88,"$64,853,000",Pat Dorsey,Dorsey Asset Management ,DIS,2022Q4
PYPL - PayPal Holdings Inc.,7.7,Add 0.73%,"745,950",$71.22,"$53,127,000",Pat Dorsey,Dorsey Asset Management ,PYPL,2022Q4
GOOG - Alphabet Inc. CL C,7.4,Add 0.71%,"570,922",$88.73,"$50,658,000",Pat Dorsey,Dorsey Asset Management ,GOOG,2022Q4
SEMR - SEMrush Holdings Inc.,4.2,Add 2.79%,"3,548,943",$8.14,"$28,888,000",Pat Dorsey,Dorsey Asset Management ,SEMR,2022Q4
UPWK - Upwork Inc.,4.1,Add 0.70%,"2,688,611",$10.44,"$28,069,000",Pat Dorsey,Dorsey Asset Management ,UPWK,2022Q4
ATCO - Atlas Corp.,52.0,,"125,081,134",$15.34,"$1,918,745,000",Prem Watsa,Fairfax Financial Holdings,ATCO,2022Q4
RFP - Resolute Forest Products,17.9,,"30,548,190",$21.59,"$659,535,000",Prem Watsa,Fairfax Financial Holdings,RFP,2022Q4
KW - Kennedy-Wilson Holdings Inc.,5.7,,"13,322,009",$15.73,"$209,555,000",Prem Watsa,Fairfax Financial Holdings,KW,2022Q4
MU - Micron Technology Inc.,4.7,,"3,462,049",$49.98,"$173,033,000",Prem Watsa,Fairfax Financial Holdings,MU,2022Q4
BB - BlackBerry Ltd.,4.1,,"46,724,700",$3.25,"$151,855,000",Prem Watsa,Fairfax Financial Holdings,BB,2022Q4
BAC - Bank of America Corp.,2.8,,"3,101,000",$33.11,"$102,674,000",Prem Watsa,Fairfax Financial Holdings,BAC,2022Q4
OXY - Occidental Petroleum,1.6,,"921,500",$62.98,"$58,036,000",Prem Watsa,Fairfax Financial Holdings,OXY,2022Q4
CVX - Chevron Corp.,1.5,,"314,000",$179.52,"$56,369,000",Prem Watsa,Fairfax Financial Holdings,CVX,2022Q4
ORLA - Orla Mining Ltd,1.2,Add 4.89%,"10,719,650",$3.99,"$42,722,000",Prem Watsa,Fairfax Financial Holdings,ORLA,2022Q4
<1% Basket - Multiple Holdings,8.7,,,,,Prem Watsa,Fairfax Financial Holdings,<1% Basket,2022Q4
GOOGL - Alphabet Inc.,9.1,Add 15.55%,"4,199,000",$88.23,"$370,497,000",Bill Nygren,Oakmark Select Fund,GOOGL,2022Q4
CBRE - CBRE Group,7.3,Add 6.94%,"3,850,000",$76.95,"$296,270,000",Bill Nygren,Oakmark Select Fund,CBRE,2022Q4
ORCL - Oracle Corp.,7.1,Buy,"3,550,000",$81.74,"$290,177,000",Bill Nygren,Oakmark Select Fund,ORCL,2022Q4
KKR - KKR & Co. L.P.,6.3,Add 10.00%,"5,500,000",$46.42,"$255,310,000",Bill Nygren,Oakmark Select Fund,KKR,2022Q4
CRM - Salesforce.com,5.2,Add 32.37%,"1,595,000",$132.59,"$211,481,000",Bill Nygren,Oakmark Select Fund,CRM,2022Q4
LAD - Lithia Motors Inc.,5.2,Add 28.50%,"1,028,000",$204.74,"$210,473,000",Bill Nygren,Oakmark Select Fund,LAD,2022Q4
COF - Capital One Financial,5.1,Add 13.19%,"2,231,000",$92.96,"$207,403,000",Bill Nygren,Oakmark Select Fund,COF,2022Q4
ICE - Intercontinental Exchange Inc.,4.5,Buy,"1,800,000",$102.59,"$184,662,000",Bill Nygren,Oakmark Select Fund,ICE,2022Q4
HCA - HCA Healthcare Inc.,4.5,Reduce 2.32%,"757,000",$240.04,"$181,709,000",Bill Nygren,Oakmark Select Fund,HCA,2022Q4
C - Citigroup Inc.,4.5,Reduce 19.95%,"4,012,000",$45.23,"$181,463,000",Bill Nygren,Oakmark Select Fund,C,2022Q4
FCNCA - First Citizens Bancshares,4.4,Reduce 27.88%,"238,000",$758.60,"$180,546,000",Bill Nygren,Oakmark Select Fund,FCNCA,2022Q4
ALLY - Ally Financial Inc.,4.2,,"7,000,000",$24.45,"$171,153,000",Bill Nygren,Oakmark Select Fund,ALLY,2022Q4
AMZN - Amazon.com Inc.,4.2,Add 40.41%,"2,036,000",$84.00,"$171,022,000",Bill Nygren,Oakmark Select Fund,AMZN,2022Q4
NFLX - Netflix Inc.,4.2,Reduce 41.73%,"574,000",$294.62,"$169,113,000",Bill Nygren,Oakmark Select Fund,NFLX,2022Q4
CHTR - Charter Communications,4.0,Reduce 33.33%,"476,000",$339.03,"$161,378,000",Bill Nygren,Oakmark Select Fund,CHTR,2022Q4
EOG - EOG Resources,3.8,Reduce 17.47%,"1,181,000",$129.48,"$152,916,000",Bill Nygren,Oakmark Select Fund,EOG,2022Q4
WFC - Wells Fargo,3.6,Add 20.00%,"3,600,000",$41.29,"$148,644,000",Bill Nygren,Oakmark Select Fund,WFC,2022Q4
FISV - Fiserv Inc.,3.5,Reduce 30.06%,"1,396,000",$101.09,"$141,125,000",Bill Nygren,Oakmark Select Fund,FISV,2022Q4
WBD - Warner Bros. Discovery Inc.,2.8,Add 10.45%,"12,150,000",$9.48,"$115,182,000",Bill Nygren,Oakmark Select Fund,WBD,2022Q4
LBRDK - Liberty Broadband Corp. CL C,2.6,Buy,"1,400,000",$76.27,"$106,778,000",Bill Nygren,Oakmark Select Fund,LBRDK,2022Q4
APA - APA Corp.,2.6,Reduce 21.11%,"2,242,000",$46.68,"$104,657,000",Bill Nygren,Oakmark Select Fund,APA,2022Q4
ALSN - Allison Transmission Holdings,1.4,Reduce 70.22%,"1,337,000",$41.59,"$55,604,000",Bill Nygren,Oakmark Select Fund,ALSN,2022Q4
FCNCB - First Citizens Bancshares CL B,0.3,Add 6.67%,"16,000",$689.00,"$11,024,000",Bill Nygren,Oakmark Select Fund,FCNCB,2022Q4
LBTYK - Liberty Global Inc. C,15.7,Reduce 0.72%,"47,504,310",$19.43,"$923,009,000",Seth Klarman,Baupost Group,LBTYK,2022Q4
LSXMK - Liberty SiriusXM Series C,9.1,Reduce 0.92%,"13,651,048",$39.13,"$534,166,000",Seth Klarman,Baupost Group,LSXMK,2022Q4
QRVO - Qorvo Inc.,8.8,Reduce 15.41%,"5,731,657",$90.64,"$519,517,000",Seth Klarman,Baupost Group,QRVO,2022Q4
VSAT - Viasat Inc.,8.8,,"16,288,959",$31.65,"$515,546,000",Seth Klarman,Baupost Group,VSAT,2022Q4
VRTV - Veritiv Corp.,6.9,Reduce 3.27%,"3,324,324",$121.71,"$404,603,000",Seth Klarman,Baupost Group,VRTV,2022Q4
GOOG - Alphabet Inc. CL C,6.0,Add 190.22%,"3,994,280",$88.73,"$354,412,000",Seth Klarman,Baupost Group,GOOG,2022Q4
WTW - Willis Towers Watson plc,5.3,Reduce 0.35%,"1,280,908",$244.58,"$313,284,000",Seth Klarman,Baupost Group,WTW,2022Q4
LSXMA - Liberty Sirius XM Series A,5.1,,"7,677,656",$39.31,"$301,809,000",Seth Klarman,Baupost Group,LSXMA,2022Q4
WBD - Warner Bros. Discovery Inc.,5.0,Add 6.90%,"31,000,000",$9.48,"$293,880,000",Seth Klarman,Baupost Group,WBD,2022Q4
META - Meta Platforms Inc.,3.5,Add 150.83%,"1,727,851",$120.34,"$207,930,000",Seth Klarman,Baupost Group,META,2022Q4
FISV - Fiserv Inc.,3.4,Reduce 43.31%,"2,002,391",$101.07,"$202,382,000",Seth Klarman,Baupost Group,FISV,2022Q4
EDU - New Oriental Education & Technology,3.4,Reduce 24.61%,"5,793,928",$34.82,"$201,745,000",Seth Klarman,Baupost Group,EDU,2022Q4
SSNC - SS&C Technologies Holdings Inc.,3.3,,"3,772,749",$52.06,"$196,409,000",Seth Klarman,Baupost Group,SSNC,2022Q4
MU - Micron Technology Inc.,2.8,,"3,285,974",$49.98,"$164,233,000",Seth Klarman,Baupost Group,MU,2022Q4
FIS - Fidelity National Information Services,2.5,Add 250.41%,"2,155,000",$67.85,"$146,217,000",Seth Klarman,Baupost Group,FIS,2022Q4
LBTYA - Liberty Global Inc.,2.3,,"7,194,276",$18.93,"$136,188,000",Seth Klarman,Baupost Group,LBTYA,2022Q4
TBPH - Theravance Biopharma Inc.,2.2,Reduce 14.90%,"11,419,226",$11.22,"$128,124,000",Seth Klarman,Baupost Group,TBPH,2022Q4
AMZN - Amazon.com Inc.,1.4,Add 299.19%,"990,000",$84.00,"$83,160,000",Seth Klarman,Baupost Group,AMZN,2022Q4
<1% Basket - Multiple Holdings,4.5,,,,,Seth Klarman,Baupost Group,<1% Basket,2022Q4
MA - Mastercard Inc.,18.5,Reduce 0.43%,"5,866,026",$347.73,"$2,039,793,000",Chuck Akre,Akre Capital Management,MA,2022Q4
