investor_name,bio
Michael Burry,"Michael James Burry is both an American investor who founded the hedge fund Scion Capital in 2000 using a small inheritance and a physician who specializes in neurology. Among investors, he is best known for being one of the few who predicted the subprime mortgage crisis that lasted from 2007 to 2010.  (credit: https://www.investopedia.com/who-is-michael-burry-5235600)  

Sometimes he posts on his [Twitter page](https://twitter.com/michaeljburry), although he usually deletes his tweets within a few days."
Pat Dorsey,"Pat is the founder of Dorsey Asset Management. Prior to starting Dorsey Asset, Pat was Director of Research for Sanibel Captiva Trust, an independent trust company serving high net worth clients.  From 2000 to 2011, Pat was Director of Equity Research for Morningstar, where he led the growth of Morningstar’s equity research group from 20 to 90 analysts. Pat was instrumental in the development of Morningstar’s economic moat ratings, as well as the methodology behind Morningstar’s framework for analyzing competitive advantage. Pat is also the author of two books — The Five Rules for Successful Stock Investing and The Little Book that Builds Wealth.  Pat holds a Master’s degree in Political Science from Northwestern University and a bachelor’s degree in government from Wesleyan University. He is a CFA charterholder.  (credit: https://dorseyasset.com/who-we-are/)"
Prem Watsa,Prem Watsa founded Toronto-based financial services firm Fairfax Financial Holdings in 1985 and remains its chairman and CEO.  (credit: https://www.forbes.com/profile/v-prem-watsa)
Bill Nygren,"Bill Nygren has been a manager of the Oakmark Select Fund since 1996, Oakmark Fund since 2000 and the Oakmark Global Select Fund since 2006. He is also the chief investment officer for U.S. equities at Harris Associates, which he joined in 1983, and a vice president of the Oakmark Funds. He served as the firm’s director of research from 1990 to 1998.  Mr. Nygren has received many accolades during his investment career, including being named Morningstar’s Domestic Stock Manager of the Year for 2001.  He holds an M.S. in finance from the University of Wisconsin’s Applied Security Analysis Program (1981) and a B.S. in accounting from the University of Minnesota (1980).  (credit: https://oakmark.com/who-we-are/our-team/bill-nygren/)"
Seth Klarman,"Investment legend Seth Klarman runs Boston-based firm Baupost, one of the largest hedge funds.  Klarman is seen as an expert in value investing, also known among value investors for his book, Margin of Safety.  (credit: https://www.forbes.com/profile/seth-klarman)"
Chuck Akre,"Chuck founded Akre Capital Management in 1989 after 21 years in the securities business at NYSE member firm Johnston, Lemon & Co. At Johnston, Lemon & Co., he managed various parts of the business, including branch management, research, and asset management. Beginning in June of 1993, Chuck operated the firm under the umbrella of Friedman, Billings, Ramsey & Co. Taking the business private again in 2000, he moved the firm to the rural village of Middleburg, Virginia. (credit: https://www.akrecapital.com/people/chuck-akre/)"
Bill Ackman,"William Ackman is the CEO and Portfolio Manager of Pershing Square Capital Management, L.P., an SEC registered investment adviser founded in 2003. Pershing Square is a concentrated research-intensive fundamental value investor in long and occasionally short investments in the public markets. Prior to forming Pershing Square, Mr. Ackman co-founded Gotham Partners Management Co., LLC, an investment adviser that managed public and private equity hedge fund portfolios. Prior to Gotham Partners, Mr. Ackman began his career in real estate investment banking at Ackman Brothers & Singer, Inc. Mr. Ackman received an MBA from the Harvard Business School and a Bachelor of Arts magna cum laude from Harvard College.  (credit: https://pershingsquarefoundation.org/people/william-a-ackman-2/)"
Francois Rochon,"Francois Rochon was educated as an engineer at the École Polytechnique of Montreal.  After graduating with his Masters Degree (in Science), he worked as a researcher and network engineer for INRS-Telecom and Teleglobe Canada.  In December 1998, Francois founded Giverny Capital in order to offer investment management services to clients based on his investment philosophy of owning outstanding companies for the long term.  (credit: https://www.givernycam.com/francois-rochon)"
Robert Vinall,"Rob Vinall is the founder and managing director of RV Capital. He started RV in 2006 and lives in Kilchberg, Switzerland with his wife and three children.  (credit: https://www.rvcapital.ch/)"
Guy Spier,"Guy Spier is a Zurich-based investor and the author of The Education of a Value Investor. Since 1997, he has managed Aquamarine’s privately offered investment funds.  Guy previously worked as an investment banker in New York and as a management consultant in London and Paris. He has an MBA from the Harvard Business School, class of 1993, and holds a First Class degree in Politics, Philosophy and Economics from Oxford University. On graduating from Oxford, he was co- awarded the George Webb Medley prize for the best performance that year in economics.  Guy currently lives in Switzerland with his wife Lory and their three children, Eva, Isaac and Sarah.  (credit: https://www.aquamarinefund.com/guy-spier/)"
Charlie Munger,"As vice chairman of famed holding company Berkshire Hathaway, Charlie Munger is Warren Buffett's right-hand man.  Munger is also chairman of publisher newspaper publisher Daily Journal Corp.  (credit: https://www.forbes.com/profile/charles-munger)"
